x, y, r^2, avg 5-fold RMSE, avg 5-fold r^2 
voronoi_std_betweenness_centrality,transError.numSamples.mean,0.207691879094,2268.68814799,0.170671319861
topology_avg_eigenvector_centrality,transError.mean.mean,0.207218258005,0.156495599794,-0.159878591961
topology_edges,rotError.mean.mean,0.206099568011,0.00388654647214,0.0289734466265
topology_avg_katz_centrality,transError.std.mean,0.205725734997,0.173632608751,-0.486180387148
topology_avg_betweenness_centrality,transError.mean.mean,0.20436808698,0.142079595658,0.0222021709591
traversalTime,transError.mean.std,0.203102048169,0.0690621495411,0.105149802464
voronoi_avg_betweenness_centrality,rotError.numSamples.std,0.201040542094,3935.68336716,-0.0709922834451
voronoi_avg_betweenness_centrality,transError.numSamples.std,0.201040542094,3950.25052977,-0.0256049442537
voronoi_std_closeness_centrality,transError.mean.std,0.19976936694,0.0715749954538,0.0535477520436
numRooms,rotError.numSamples.std,0.199642944051,4100.80262897,-0.0787631368687
numRooms,transError.numSamples.std,0.199642944051,4115.1128038,0.0516056133615
voronoi_avg_shortest_path_length,transError.mean.std,0.199049882558,0.0679670111126,0.0857407319848
voronoi_std_katz_centrality,rotError.mean.mean,0.198811228773,0.00401799838576,-0.0187792125551
voronoi_std_closeness_centrality,transError.std.mean,0.194455870022,0.171703774842,-0.239382663309
voronoi_avg_betweenness_centrality,transError.std.std,0.193396063738,0.123339382949,0.193447441045
voronoi_avg_shortest_path_length,rotError.mean.mean,0.192522033511,0.00405686559873,0.04953257135
roomPerimeter,transError.std.mean,0.190571492471,0.154497571908,0.10202926736
roomPerimeter,transError.mean.mean,0.189221195514,0.136458283732,-0.0798703949235
topology_avg_eigenvector_centrality,transError.mean.std,0.187781466907,0.0757561316611,-0.0528050603316
topology_std_betweenness_centrality,rotError.numSamples.mean,0.187558705421,2439.08827113,-0.13587048912
topology_std_betweenness_centrality,transError.numSamples.mean,0.187558705421,2454.20942999,0.108740968947
topology_nodes,rotError.std.mean,0.186774811835,0.00601796947798,0.125893465286
topology_edges,rotError.std.mean,0.186255264724,0.00596945733791,-0.15983514492
voronoi_numBifurcationPoints,rotError.numSamples.std,0.184944805592,3972.2557524,0.0558834375892
voronoi_numBifurcationPoints,transError.numSamples.std,0.184944805592,4037.71090422,0.109790981703
voronoi_avg_closeness_centrality,transError.mean.mean,0.183210969835,0.151005708756,-0.028107481714
voronoi_std_eigenvector_centrality,rotError.numSamples.std,0.182782615566,4240.36797186,-0.0562601850547
voronoi_std_eigenvector_centrality,transError.numSamples.std,0.182782615566,4071.33151318,0.0199605259207
topology_std_eigenvector_centrality,rotError.numSamples.std,0.182248559348,4043.51844968,0.101462716815
topology_std_eigenvector_centrality,transError.numSamples.std,0.182248559348,3902.59179407,0.0669574873747
numRooms,rotError.std.mean,0.18148936335,0.0061945530682,-0.00451220635615
voronoi_std_betweenness_centrality,rotError.mean.mean,0.181277552526,0.0041766722895,0.194650668375
voronoi_std_closeness_centrality,rotError.numSamples.mean,0.179726322823,2568.13553714,-0.266042454429
voronoi_std_closeness_centrality,transError.numSamples.mean,0.179726322823,2404.40630482,-1.78992207465
topology_avg_eigenvector_centrality,transError.std.mean,0.177630574008,0.177426319517,-0.755190556716
voronoi_radius,rotError.std.mean,0.176832880799,0.00640572368592,-0.816959302074
topology_avg_katz_centrality,rotError.numSamples.mean,0.176787407303,2466.55634378,0.136274011785
topology_avg_katz_centrality,transError.numSamples.mean,0.176787407303,2665.11253785,0.0527789478661
voronoi_std_betweenness_centrality,rotError.std.mean,0.176350209365,0.00626971248461,-0.592472763985
topology_nodes,transError.std.std,0.174967282046,0.121382400701,0.0668735773706
topology_numBifurcationPoints,transError.std.mean,0.171756330048,0.165565922414,0.0240392677658
voronoi_std_katz_centrality,rotError.numSamples.std,0.170718926838,4376.19186805,-0.0836138159382
voronoi_std_katz_centrality,transError.numSamples.std,0.170718926838,4181.4128997,-0.711305451717
voronoi_diameter,rotError.mean.mean,0.170602217187,0.00420204667775,0.0603347615769
voronoi_std_betweenness_centrality,rotError.numSamples.std,0.169732291224,4078.7500931,-0.282782199547
voronoi_std_betweenness_centrality,transError.numSamples.std,0.169732291224,4138.95502611,0.0371837072364
voronoi_std_closeness_centrality,rotError.mean.mean,0.169455149495,0.00441968658039,-0.13838573053
voronoi_std_eigenvector_centrality,rotError.std.mean,0.168069472515,0.00619556911041,-0.537636319606
voronoi_avg_closeness_centrality,transError.std.mean,0.167778973756,0.174589913108,-0.0462239858868
topology_std_betweenness_centrality,rotError.numSamples.std,0.165268372067,4123.7137067,0.0548772595925
topology_std_betweenness_centrality,transError.numSamples.std,0.165268372067,4246.80737762,-0.749700154513
voronoi_avg_eigenvector_centrality,transError.mean.mean,0.164237415973,0.175161127769,-0.544171490498
topology_numBifurcationPoints,rotError.numSamples.mean,0.16273110079,2393.90770321,0.0567234219965
topology_numBifurcationPoints,transError.numSamples.mean,0.16273110079,2265.57110784,0.0262984894478
totalLength,transError.mean.std,0.162415402965,0.0705644562802,0.117455572911
voronoi_std_eigenvector_centrality,transError.std.std,0.161797002305,0.129791253805,0.0478883137477
voronoi_avg_shortest_path_length,rotError.numSamples.std,0.161330593714,4078.77217903,0.1297258451
voronoi_avg_shortest_path_length,transError.numSamples.std,0.161330593714,4108.91365829,-0.264407086544
topology_std_eigenvector_centrality,rotError.std.mean,0.159986631374,0.00618878373434,0.202536645703
voronoi_std_katz_centrality,rotError.std.mean,0.158943059578,0.00591391624213,-0.602750267505
voronoi_avg_closeness_centrality,rotError.numSamples.mean,0.156725989375,2555.5336594,-0.416117140811
voronoi_avg_closeness_centrality,transError.numSamples.mean,0.156725989375,2382.37878572,-0.179321010462
topology_std_eigenvector_centrality,rotError.mean.mean,0.155611165054,0.00395675489874,-0.0529213702962
topology_avg_betweenness_centrality,transError.std.mean,0.153370358852,0.17902761093,-0.0314691780504
voronoi_std_betweenness_centrality,transError.std.std,0.150713975372,0.122222147199,0.104736588964
voronoi_std_katz_centrality,transError.std.std,0.150311331724,0.129001119245,-0.109598900744
voronoi_numBifurcationPoints,transError.std.std,0.149192811043,0.120371596099,-0.0120039325015
voronoi_avg_shortest_path_length,rotError.std.mean,0.148334533592,0.00636340226839,-0.0276801993558
topology_numBifurcationPoints,transError.mean.mean,0.147234009188,0.140344085146,0.0556541873177
topology_edges,transError.std.std,0.147121412579,0.123121375918,0.033601303261
topology_numBifurcationPoints,transError.mean.std,0.146631032151,0.0707128527997,0.0527799938834
voronoi_radius,rotError.numSamples.std,0.146595713025,4099.62346803,-0.0911012630597
voronoi_radius,transError.numSamples.std,0.146595713025,4136.01851361,0.0636669596146
topology_avg_eigenvector_centrality,rotError.numSamples.mean,0.145912764429,2770.87950935,-0.539710177281
topology_avg_eigenvector_centrality,transError.numSamples.mean,0.145912764429,2391.34424898,-0.0803974824155
topology_avg_katz_centrality,rotError.numSamples.std,0.145775891118,4542.00892317,-0.837790404746
topology_avg_katz_centrality,transError.numSamples.std,0.145775891118,4742.79559902,0.0910260957793
traversalTime,rotError.mean.std,0.145221212392,0.0121044556249,-4.05957150922
voronoi_avg_eigenvector_centrality,transError.std.mean,0.144800931781,0.196456209077,-0.752111445147
topology_avg_betweenness_centrality,rotError.numSamples.mean,0.144591332234,2521.87045265,0.0342613273581
topology_avg_betweenness_centrality,transError.numSamples.mean,0.144591332234,2545.11447984,0.0260269880869
numRooms,transError.std.std,0.143417108094,0.120572194137,0.138891831653
voronoi_diameter,transError.mean.std,0.139151398986,0.0717069866602,-0.0732942151715
traversalTime,rotError.std.std,0.1374063364,0.0243534976526,-0.918906166926
topology_numBifurcationPoints,rotError.numSamples.std,0.136862358458,4015.21137102,-0.237387556899
topology_numBifurcationPoints,transError.numSamples.std,0.136862358458,4116.91062391,-0.113366591329
voronoi_avg_closeness_centrality,transError.mean.std,0.136454920786,0.0752268110665,-0.0443367839104
voronoi_avg_eigenvector_centrality,transError.mean.std,0.136242024628,0.0776189633797,-0.0515322585099
topology_density,transError.mean.mean,0.136168159747,0.184773383056,-1.14975433472
topology_std_betweenness_centrality,rotError.mean.mean,0.13550487187,0.00443997893044,-0.631237831937
voronoi_avg_eigenvector_centrality,rotError.numSamples.mean,0.135006088296,2515.13421058,-0.33624349352
voronoi_avg_eigenvector_centrality,transError.numSamples.mean,0.135006088296,2487.76272545,-0.562933649556
topology_std_betweenness_centrality,transError.std.std,0.130787370986,0.127455494487,0.0482364425901
topology_avg_katz_centrality,rotError.mean.mean,0.130427113389,0.00450605626198,-0.439780440873
voronoi_diameter,rotError.std.mean,0.127280108201,0.00630500734473,0.0311568426437
voronoi_std_closeness_centrality,rotError.numSamples.std,0.12684793699,4479.68340443,-0.0292675628087
voronoi_std_closeness_centrality,transError.numSamples.std,0.12684793699,4296.68602237,-2.64837135913
topology_density,transError.mean.std,0.126365162429,0.0924158049519,-0.609686735032
topology_avg_betweenness_centrality,rotError.numSamples.std,0.125346152475,4279.08389159,0.047791841665
topology_avg_betweenness_centrality,transError.numSamples.std,0.125346152475,4155.45581545,-0.521766314874
totalTime,rotError.std.mean,0.12511449347,0.00628063179981,-0.293909492817
topology_std_eigenvector_centrality,transError.std.std,0.122587824958,0.124361922318,0.118715100065
voronoi_avg_closeness_centrality,rotError.mean.mean,0.122082638112,0.00439258572708,0.0413649432178
voronoi_avg_shortest_path_length,transError.std.std,0.120791798673,0.128679148317,-0.00404637935902
voronoi_nodes,rotError.mean.std,0.120452216467,0.0115456263684,-2.61482385667
voronoi_avg_eigenvector_centrality,rotError.mean.mean,0.120315195747,0.00474566500573,-0.203725903105
topology_avg_eigenvector_centrality,rotError.numSamples.std,0.119877215576,4546.73525223,-0.341774938925
topology_avg_eigenvector_centrality,transError.numSamples.std,0.119877215576,4168.49146899,0.0480286722896
voronoi_density,transError.mean.mean,0.118693274764,0.194130039697,-0.556557439871
topology_avg_katz_centrality,transError.std.std,0.115722108345,0.13697455932,-0.318679192836
topology_avg_betweenness_centrality,rotError.mean.mean,0.115187736636,0.00400816492653,-0.108068769124
voronoi_edges,rotError.mean.std,0.114752766601,0.0118139773991,-3.52520732729
voronoi_density,transError.mean.std,0.113562328041,0.0897066248243,-1.03614533952
voronoi_std_closeness_centrality,rotError.std.mean,0.113235074336,0.00664909065806,0.03263898188
voronoi_nodes,rotError.std.std,0.112594541913,0.0219633691889,-0.63399541013
topology_avg_betweenness_centrality,rotError.std.mean,0.111897193186,0.00709899852193,-0.604751736436
voronoi_numBifurcationPoints,rotError.mean.std,0.111123260933,0.0107398832856,-2.21516830597
roomPerimeter,rotError.numSamples.mean,0.110857530026,2397.97428178,0.014289730712
roomPerimeter,transError.numSamples.mean,0.110857530026,2374.3420957,-0.126378453809
voronoi_diameter,rotError.numSamples.std,0.110146456353,4300.85457408,-0.667499652898
voronoi_diameter,transError.numSamples.std,0.110146456353,4309.08077573,-0.0219138736728
voronoi_density,transError.std.mean,0.1096724876,0.22303873083,-0.36278222649
totalLength,rotError.std.mean,0.109351081279,0.00632543738857,-0.149986507986
topology_std_closeness_centrality,transError.mean.mean,0.108954779997,0.1435890294,0.0229523914012
topology_avg_eigenvector_centrality,rotError.mean.mean,0.10875781199,0.00477321092938,0.0411335382097
voronoi_edges,rotError.std.std,0.108689675182,0.0199671986417,-1.47515558388
voronoi_density,rotError.numSamples.mean,0.107139205187,2972.78042802,-0.565903042964
voronoi_density,transError.numSamples.mean,0.107139205187,3278.74647526,-0.302790127792
voronoi_density,rotError.mean.mean,0.106966204648,0.00538280421292,-0.409458522508
topology_density,transError.std.mean,0.105858816675,0.209028596821,-0.73790522907
topology_std_closeness_centrality,transError.std.mean,0.105761234205,0.168074271925,-0.110100138704
voronoi_avg_closeness_centrality,rotError.numSamples.std,0.104112699942,4346.42422795,-0.87873352305
voronoi_avg_closeness_centrality,transError.numSamples.std,0.104112699942,4282.95809626,-0.935203898197
topology_std_betweenness_centrality,rotError.std.mean,0.103802787066,0.0068052626988,-0.606430848497
topology_avg_katz_centrality,rotError.std.mean,0.103538625386,0.00651201861295,-0.282740291215
topology_avg_eigenvector_centrality,transError.std.std,0.101495859366,0.125290047805,-0.273304054786
voronoi_std_closeness_centrality,transError.std.std,0.101001371262,0.129838602935,-0.0259608924837
roomPerimeter,transError.mean.std,0.100427870971,0.0739225561112,0.0588869910101
voronoi_numBifurcationPoints,rotError.std.std,0.0994446383469,0.0221541549062,-0.535073447057
topology_numBifurcationPoints,transError.std.std,0.0979205532828,0.132673457722,-0.089498358793
topology_numBifurcationPoints,rotError.mean.mean,0.0965053020586,0.0042884822662,0.105614242606
voronoi_radius,rotError.mean.std,0.0943319941577,0.0119029517141,-1.77857446572
voronoi_avg_eigenvector_centrality,rotError.numSamples.std,0.0940477627315,4478.81174854,-0.347777336459
voronoi_avg_eigenvector_centrality,transError.numSamples.std,0.0940477627315,4468.95238198,-4.35676316164
topology_avg_betweenness_centrality,transError.std.std,0.0938446039156,0.132492568799,0.0532901258995
voronoi_radius,transError.std.std,0.0904467682782,0.123981250369,0.064045239083
voronoi_avg_eigenvector_centrality,rotError.std.mean,0.0895381239444,0.00725049065601,-0.219679740493
topology_density,rotError.numSamples.mean,0.0893651101327,3242.48980476,-1.25376277319
topology_density,transError.numSamples.mean,0.0893651101327,3147.45447232,-1.48096597356
voronoi_avg_closeness_centrality,transError.std.std,0.0818581593988,0.134678443528,-0.127611991722
voronoi_density,rotError.numSamples.std,0.0811053087605,5327.44197924,-0.771393709654
voronoi_density,transError.numSamples.std,0.0811053087605,5142.23003455,-0.119406674269
perimeter,transError.std.mean,0.0810111674343,0.166934926354,0.0477377302441
voronoi_radius,rotError.std.std,0.0796585252407,0.0222973052795,-1.38491529356
topology_avg_eigenvector_centrality,rotError.std.mean,0.0791950171702,0.00671375578801,-0.7277585961
voronoi_avg_closeness_centrality,rotError.std.mean,0.0790078151985,0.00613890811021,-0.442871348052
topology_std_closeness_centrality,rotError.numSamples.mean,0.0789549258665,2457.64763675,-0.00186597563516
topology_std_closeness_centrality,transError.numSamples.mean,0.0789549258665,2441.4318545,-0.064127568331
voronoi_density,rotError.std.mean,0.0788237133553,0.00784143093347,-2.14308657297
totalTime,rotError.mean.mean,0.0769409932282,0.00450056701587,0.0168525876039
topology_density,rotError.numSamples.std,0.0769391887289,5432.77739266,-1.13012640675
topology_density,transError.numSamples.std,0.0769391887289,5240.92734113,-1.27694004244
topology_numBifurcationPoints,rotError.std.mean,0.0765934898328,0.00634289086029,-0.13721844596
voronoi_avg_eigenvector_centrality,transError.std.std,0.0759133868888,0.145894122451,0.023016742448
voronoi_avg_shortest_path_length,rotError.mean.std,0.0742275312464,0.00987139334151,-1.9147904139
voronoi_diameter,transError.std.std,0.071588239352,0.130230171346,-0.404412818034
voronoi_avg_betweenness_centrality,rotError.std.std,0.0714632621743,0.0209068472096,-0.669205371074
perimeter,transError.mean.mean,0.0697703013446,0.146207847355,-0.0346436828305
area,transError.std.mean,0.0684541821465,0.171124599268,0.0145846537376
topology_std_closeness_centrality,transError.mean.std,0.0674542419448,0.0743350805065,-0.120579555494
voronoi_density,transError.std.std,0.0671955592784,0.155359887703,-1.48462098532
