x, y, Pearson, P-Value
avgRoomWallRatio,sqrt(totalTime.mean),-0.25179216153,0.329600769112
avgRoomWallRatio,log(totalTime.std),-0.246855392548,0.339486840875
log(avgRoomWallRatio),sqrt(totalLength.std),-0.240416310125,0.352633962841
avgRoomPerimeter,log(totalLength.mean),-0.237382821911,0.358926152221
sqrt(avgRoomWallRatio),log(totalTime.std),-0.236162017485,0.361476114518
sqrt(wallRatio),sqrt(totalLength.std),0.23406322215,0.36588368066
avgRoomWallRatio,log(totalLength.mean),-0.233976398155,0.366066659302
avgRoomWallRatio,totalTime.mean,-0.2337496536,0.366544756904
sqrt(avgRoomPerimeter),log(totalTime.mean),-0.231955933846,0.370339143986
sqrt(avgRoomPerimeter),sqrt(totalTime.std),-0.231643152838,0.371003021633
avgRoomWallRatio,totalTime.std,-0.231241480202,0.371856541311
avgRoomWallRatio,sqrt(totalLength.mean),-0.230287663259,0.373887684066
avgRoomArea,log(totalLength.mean),-0.219805573558,0.396611050078
sqrt(avgRoomArea),sqrt(totalTime.std),-0.2193792263,0.397550776707
avgRoomArea,sqrt(totalLength.std),-0.216791809707,0.403279517011
sqrt(avgRoomPerimeter),sqrt(totalLength.std),-0.216192817085,0.40461201424
sqrt(avgRoomArea),log(totalTime.mean),-0.215631685183,0.405862424629
sqrt(avgRoomWallRatio),sqrt(totalTime.std),-0.215120418003,0.407003515392
log(wallRatio),totalLength.std,0.212946228734,0.411875157736
sqrt(avgRoomWallRatio),log(totalTime.mean),-0.212464312511,0.412959150198
wallRatio,log(totalLength.std),0.210470681793,0.417459548013
sqrt(avgRoomArea),sqrt(totalLength.std),-0.205265085957,0.429331735262
log(avgRoomWallRatio),log(totalTime.std),-0.202724545041,0.435188954566
avgRoomWallRatio,totalLength.mean,-0.201414597452,0.438225093066
sqrt(avgRoomWallRatio),log(totalLength.mean),-0.197870390464,0.446494098927
avgRoomPerimeter,sqrt(totalTime.mean),-0.1968628039,0.448859329072
log(wallRatio),sqrt(totalLength.std),0.194726039547,0.453896216146
sqrt(avgRoomWallRatio),sqrt(totalTime.mean),-0.191608168572,0.461296718513
log(avgRoomArea),sqrt(totalLength.std),-0.190127390878,0.46483247297
log(avgRoomWallRatio),totalLength.std,-0.188029380805,0.469865051534
sqrt(avgRoomPerimeter),log(totalLength.mean),-0.186588658851,0.473336514187
avgRoomPerimeter,totalLength.std,-0.186453422699,0.473663017116
log(avgRoomArea),sqrt(totalTime.std),-0.18099244246,0.486939672656
sqrt(wallRatio),log(totalLength.std),0.180611646018,0.487872120089
sqrt(avgRoomArea),log(totalLength.mean),-0.178341067894,0.493449890621
wallRatio,totalTime.std,0.174158898047,0.503802972158
sqrt(avgRoomWallRatio),sqrt(totalLength.mean),-0.173593398735,0.505210714489
sqrt(wallRatio),totalTime.std,0.171960335582,0.509286419436
log(avgRoomPerimeter),sqrt(totalLength.std),-0.171608070622,0.510167599523
log(avgRoomPerimeter),sqrt(totalTime.std),-0.171331332022,0.510860353409
log(avgRoomPerimeter),log(totalTime.mean),-0.170893098763,0.511958273456
wallRatio,sqrt(totalTime.std),0.167169483099,0.521331424176
log(avgRoomArea),log(totalTime.mean),-0.166809191435,0.522242533289
log(wallRatio),totalTime.std,0.166587288333,0.522804048623
sqrt(avgRoomWallRatio),totalTime.mean,-0.159016263015,0.54212678728
sqrt(wallRatio),sqrt(totalTime.std),0.153429793872,0.556585681307
log(avgRoomWallRatio),log(totalTime.mean),-0.153418752226,0.556614425058
sqrt(avgRoomPerimeter),totalLength.std,-0.149797483264,0.566076124924
avgRoomArea,totalLength.std,-0.148816754033,0.568650427248
avgRoomArea,sqrt(totalTime.mean),-0.148398298803,0.569750347681
log(avgRoomWallRatio),log(totalLength.mean),-0.146658624699,0.574332841978
log(wallRatio),log(totalLength.std),0.142427535018,0.58554266077
sqrt(avgRoomArea),totalLength.std,-0.141604051903,0.58773491784
sqrt(avgRoomWallRatio),totalTime.std,-0.141209167105,0.588787375602
avgRoomArea,totalTime.std,-0.138543608791,0.595911979428
sqrt(avgRoomPerimeter),sqrt(totalTime.mean),-0.137909514053,0.597611978513
